iter	RMSE
0	0.0001305834227
1	0.0001302648396
2	0.0001299675152
3	0.0001295227773
4	0.0001291240685
5	0.0001289187104
6	0.0001285508509
7	0.0001281787416
8	0.0001279224734
9	0.0001275671057
10	0.0001273247147
11	0.0001269842271
12	0.000126560515
13	0.0001263043921
14	0.0001259585397
15	0.0001255204902
16	0.0001251433463
17	0.0001245334739
18	0.0001239675942
19	0.0001237123356
20	0.0001235010311
21	0.0001230122692
22	0.0001227494891
23	0.0001224407354
24	0.0001220945723
25	0.0001218313845
26	0.0001213558368
27	0.0001211261609
28	0.0001208818742
29	0.0001205385287
30	0.0001202764378
31	0.0001198904053
32	0.0001195986093
33	0.0001193260812
34	0.0001190505776
35	0.0001187601674
36	0.0001184314823
37	0.000117954749
38	0.0001176300736
39	0.0001174528967
40	0.000117159857
41	0.0001168004558
42	0.0001165386467
43	0.0001161962976
44	0.0001158739785
45	0.0001156092777
46	0.000115300211
47	0.000114954446
48	0.0001146136924
49	0.0001142469343
50	0.0001140561433
51	0.0001137573778
52	0.000113553052
53	0.000113229343
54	0.0001129005167
55	0.0001127588897
56	0.000112530381
57	0.0001121171758
58	0.0001116356989
59	0.0001114129416
60	0.0001112129103
61	0.0001108933137
62	0.0001105656598
63	0.0001102041708
64	0.0001098683158
65	0.0001096075136
66	0.0001093652083
67	0.0001089580361
68	0.0001085443013
69	0.0001082478838
70	0.0001080039492
71	0.0001076311749
72	0.0001072637337
73	0.0001069289802
74	0.0001065808208
75	0.0001062471296
76	0.0001059032134
77	0.0001057477293
78	0.0001054456653
79	0.0001051770982
80	0.0001048785797
81	0.0001046013415
82	0.0001041862058
83	0.000103878641
84	0.0001036417412
85	0.0001033365743
86	0.0001031904945
87	0.0001029239641
88	0.000102695531
89	0.0001025283418
90	0.0001022406846
91	0.0001019367207
92	0.0001016614022
93	0.0001013498209
94	0.0001011509155
95	0.000100905115
96	0.0001006584702
97	0.0001003780472
98	0.0001001848888
99	9.988710958e-05
100	9.958719188e-05
101	9.924910361e-05
102	9.903416764e-05
103	9.870394704e-05
104	9.846452035e-05
105	9.821411898e-05
106	9.802337496e-05
107	9.778146403e-05
108	9.747457087e-05
109	9.727388699e-05
110	9.70428574e-05
111	9.675562691e-05
112	9.652952939e-05
113	9.633033661e-05
114	9.610047412e-05
115	9.579773826e-05
116	9.552830986e-05
117	9.525491161e-05
118	9.496225232e-05
119	9.479696324e-05
120	9.456957319e-05
121	9.420561832e-05
122	9.383660016e-05
123	9.368056059e-05
124	9.338085681e-05
125	9.315366444e-05
126	9.286394868e-05
127	9.263505457e-05
128	9.236496015e-05
129	9.209522456e-05
130	9.193971725e-05
131	9.166042279e-05
132	9.15381451e-05
133	9.126504308e-05
134	9.105080312e-05
135	9.086802457e-05
136	9.071218862e-05
137	9.046952852e-05
138	9.024810788e-05
139	8.994410178e-05
140	8.975948981e-05
141	8.945403116e-05
142	8.924405104e-05
143	8.898760163e-05
144	8.864834045e-05
145	8.830145329e-05
146	8.80362946e-05
147	8.781512213e-05
148	8.755745249e-05
149	8.731888425e-05
150	8.712212231e-05
151	8.693808166e-05
152	8.675665318e-05
153	8.650076214e-05
154	8.634957764e-05
155	8.613646707e-05
156	8.587491859e-05
157	8.566309673e-05
158	8.539586036e-05
159	8.51299237e-05
160	8.479941961e-05
161	8.456852731e-05
162	8.425152039e-05
163	8.401982836e-05
164	8.381097322e-05
165	8.361347094e-05
166	8.337580382e-05
167	8.312124319e-05
168	8.285509159e-05
169	8.245795496e-05
170	8.234549003e-05
171	8.209972307e-05
172	8.192661063e-05
173	8.157101742e-05
174	8.137681538e-05
175	8.110226098e-05
176	8.079054795e-05
177	8.056145453e-05
178	8.042438339e-05
179	8.018646148e-05
180	7.993548836e-05
181	7.96685335e-05
182	7.932287284e-05
183	7.908985435e-05
184	7.891001229e-05
185	7.860231315e-05
186	7.826974636e-05
187	7.80602508e-05
188	7.781882403e-05
189	7.760304336e-05
190	7.733252237e-05
191	7.705878146e-05
192	7.682122248e-05
193	7.652997159e-05
194	7.634802494e-05
195	7.616610191e-05
196	7.588306869e-05
197	7.564873372e-05
198	7.540755594e-05
199	7.521986309e-05
200	7.495951242e-05
201	7.485714221e-05
202	7.45460542e-05
203	7.423136823e-05
204	7.393456882e-05
205	7.386366439e-05
206	7.358571923e-05
207	7.329902087e-05
208	7.320609011e-05
209	7.298974057e-05
210	7.261988128e-05
211	7.238314664e-05
212	7.213039914e-05
213	7.187214999e-05
214	7.158036833e-05
215	7.128991701e-05
216	7.101856526e-05
217	7.075799933e-05
218	7.046138497e-05
219	7.02259058e-05
220	7.002367721e-05
221	6.97939321e-05
222	6.944597582e-05
223	6.910493734e-05
224	6.876944609e-05
225	6.850433071e-05
226	6.82329167e-05
227	6.802215783e-05
228	6.787737752e-05
229	6.78081075e-05
230	6.758929918e-05
231	6.736588176e-05
232	6.712586109e-05
233	6.689620119e-05
234	6.660052587e-05
235	6.638306571e-05
236	6.61652608e-05
237	6.601013645e-05
238	6.578774267e-05
239	6.550216306e-05
240	6.519981518e-05
241	6.497202174e-05
242	6.478696924e-05
243	6.454498456e-05
244	6.437506325e-05
245	6.410153492e-05
246	6.385140598e-05
247	6.365565153e-05
248	6.334839172e-05
249	6.313139158e-05
250	6.295557297e-05
251	6.273587699e-05
252	6.244136092e-05
253	6.215218969e-05
254	6.204361959e-05
255	6.175532834e-05
256	6.154226047e-05
257	6.149227624e-05
258	6.131229152e-05
259	6.115338443e-05
260	6.097361434e-05
261	6.06951136e-05
262	6.0556819e-05
263	6.03319609e-05
264	6.015095108e-05
265	5.991020091e-05
266	5.966349004e-05
267	5.954117078e-05
268	5.929625531e-05
269	5.91140686e-05
270	5.889682327e-05
271	5.86429049e-05
272	5.839941567e-05
273	5.810339884e-05
274	5.791330635e-05
275	5.769384888e-05
276	5.747736545e-05
277	5.731666879e-05
278	5.707240946e-05
279	5.68584342e-05
280	5.667447647e-05
281	5.653454084e-05
282	5.630970105e-05
283	5.607502214e-05
284	5.603653702e-05
285	5.584636599e-05
286	5.557929884e-05
287	5.55427972e-05
288	5.531354097e-05
289	5.512165439e-05
290	5.497738068e-05
291	5.475431205e-05
292	5.457099974e-05
293	5.443886964e-05
294	5.420142669e-05
295	5.3970664e-05
296	5.371685406e-05
297	5.356288274e-05
298	5.334481516e-05
299	5.318002291e-05
300	5.293461627e-05
301	5.289054942e-05
302	5.272200825e-05
303	5.252359938e-05
304	5.230591999e-05
305	5.20599327e-05
306	5.185344463e-05
