iter	Passed	Remaining
0	155	77688
1	178	44552
2	201	33331
3	223	27718
4	246	24389
5	268	22140
6	290	20490
7	313	19273
8	335	18309
9	357	17526
10	380	16907
11	402	16376
12	429	16082
13	456	15856
14	481	15557
15	505	15296
16	527	14987
17	550	14728
18	573	14516
19	595	14299
20	618	14118
21	641	13935
22	664	13778
23	686	13620
24	708	13466
25	732	13353
26	755	13227
27	777	13098
28	798	12976
29	821	12868
30	844	12773
31	866	12666
32	888	12569
33	910	12480
34	932	12391
35	955	12320
36	978	12243
37	1004	12216
38	1027	12143
39	1052	12103
40	1078	12075
41	1105	12054
42	1134	12054
43	1162	12049
44	1190	12037
45	1216	12004
46	1241	11967
47	1264	11909
48	1287	11847
49	1310	11796
50	1334	11748
51	1357	11692
52	1380	11640
53	1403	11592
54	1427	11546
55	1450	11503
56	1473	11455
57	1496	11406
58	1519	11359
59	1541	11307
60	1563	11254
61	1586	11210
62	1609	11165
63	1632	11118
64	1655	11078
65	1678	11035
66	1700	10990
67	1723	10949
68	1746	10906
69	1768	10864
70	1790	10820
71	1813	10781
72	1836	10740
73	1859	10706
74	1883	10675
75	1907	10643
76	1930	10605
77	1953	10569
78	1976	10532
79	1999	10497
80	2021	10459
81	2044	10422
82	2066	10383
83	2089	10346
84	2111	10310
85	2134	10274
86	2157	10239
87	2178	10200
88	2202	10168
89	2224	10133
90	2247	10101
91	2269	10066
92	2293	10037
93	2321	10025
94	2349	10014
95	2372	9985
96	2395	9952
97	2418	9920
98	2441	9888
99	2463	9853
100	2486	9821
101	2508	9787
102	2531	9755
103	2553	9724
104	2575	9690
105	2598	9658
106	2620	9625
107	2643	9593
108	2665	9562
109	2688	9530
110	2710	9499
111	2733	9471
112	2756	9440
113	2779	9411
114	2802	9381
115	2826	9356
116	2861	9366
117	2886	9345
118	2916	9337
119	2943	9322
120	2967	9295
121	2992	9270
122	3016	9244
123	3038	9213
124	3060	9182
125	3084	9154
126	3106	9125
127	3129	9095
128	3152	9066
129	3174	9036
130	3196	9005
131	3219	8976
132	3241	8945
133	3263	8915
134	3287	8887
135	3309	8857
136	3331	8827
137	3354	8798
138	3376	8770
139	3399	8741
140	3421	8711
141	3444	8685
142	3473	8670
143	3496	8643
144	3521	8622
145	3546	8599
146	3572	8578
147	3596	8552
148	3619	8527
149	3644	8503
150	3670	8482
